"","X","Title","Author","Subject","Abstract","Meta"
"38",38,"mesoscale molecular simulations of fabry-pérot vibrational strong coupling","tao e. li","chemical physics (physics.chem-ph)","developing theoretical frameworks for vibrational strong coupling (vsc) beyond the single-mode approximation is crucial for a comprehensive understanding of experiments with planar fabry-pérot cavities. herein, a generalized cavity molecular dynamics (cavmd) scheme is developed to simulate vsc of a large ensemble of realistic molecules coupled to an arbitrary d or d photonic environment. this approach is built upon the power-zienau-woolley hamiltonian in the normal mode basis and uses a grid representation of the molecular ensembles to reduce the computational cost. when simulating the polariton dispersion relation for a homogeneous distribution of molecules in planar fabry-pérot cavities, our data highlight the importance of preserving the in-plane translational symmetry of the molecular distribution. in this homogeneous limit, cavmd yields the consistent polariton dispersion relation as analytic theory, i.e., incorporating many cavity modes with varying in-plane wave vectors ($k_{\parallel}$) produces the same spectrum as the system with a single cavity mode. furthermore, cavmd reveals that the validity of the single mode approximation is challenged when nonequilibrium polariton dynamics are considered, as polariton-polariton scattering occurs between modes with nearest neighbor $k_{\parallel}$. looking forward, our generalized cavmd approach may facilitate understanding vibrational polariton transport and condensation.",2024-03-18
"39",39,"rayleigh taylor instability in multiple finite-thickness fluid layers","prashant sharma","fluid dynamics (physics.flu-dyn)","we develop a general transfer-matrix formalism for determining the growth rate of the rayleigh-taylor instability in a fluid system with spatially varying density and viscosity. we use this formalism to analytically and numerically treat the case of a stratified heterogeneous fluid. we introduce the inviscid-flow approximation in our transfer-matrix formalism to find analytic solutions in the limit of uniform kinematic viscosity for a stratified heterogeneous fluid. we discuss the applicability of these results and the no-acceleration approximation that also yields analytical solutions in the large viscosity limit.",2024-03-18
"40",40,"empirical analysis on ci/cd pipeline evolution in machine learning projects","alaa houerbi, chadha siala, alexis tucker, dhia elhaq rzig, foyzul hassan","software engineering (cs.se)","the growing popularity of machine learning (ml) and the integration of ml components with other software artifacts has led to the use of continuous integration and delivery (ci/cd) tools, such as travis ci, github actions, etc. that enable faster integration and testing for ml projects. such ci/cd configurations and services require synchronization during the life cycle of the projects. several works discussed how ci/cd configuration and services change during their usage in traditional software systems. however, there is very limited knowledge of how ci/cd configuration and services change in ml projects.
to fill this knowledge gap, this work presents the first empirical analysis of how ci/cd configuration evolves for ml software systems. we manually analyzed  commits collected from  open-source ml projects to identify common ci/cd configuration change categories in ml projects and devised a taxonomy of  co-changes in ci/cd and ml components. moreover, we developed a ci/cd configuration change clustering tool that identified frequent ci/cd configuration change patterns in , commits. furthermore, we measured the expertise of ml developers who modify ci/cd configurations. based on this analysis, we found that .% of commits include a change to the build policy and minimal changes related to performance and maintainability compared to general open-source projects. additionally, the co-evolution analysis identified that ci/cd configurations, in many cases, changed unnecessarily due to bad practices such as the direct inclusion of dependencies and a lack of usage of standardized testing frameworks. more practices were found through the change patterns analysis consisting of using deprecated settings and reliance on a generic build language. finally, our developer's expertise analysis suggests that experienced developers are more inclined to modify ci/cd configurations.",2024-03-18
"41",41,"fast flavor conversions at the edge of instability","damiano f. g. fiorillo, georg raffelt","high energy physics - phenomenology (hep-ph)","a dense neutrino gas exhibiting angular crossings in the electron lepton number is unstable and develops fast flavor conversions. instead of assuming an unstable configuration from the onset, we imagine that the system is externally driven toward instability. we use the simplest model of two neutrino beams initially of different flavor that either suddenly appear or one or both slowly build up. flavor conversions commence well before the putative unstable state is fully attained, and the final outcome depends on how the system is driven. our results suggest that in an astrophysical setting, one should focus less on flavor instabilities in the neutrino radiation field and more on the external dynamics that leads to the formation of the unstable state.",2024-03-18
"42",42,"recovery of hades drift chambers suffering from malter-like effects","christian wendisch, christian muentz, luis lopes, erwin schwab, joachim stroth","instrumentation and detectors (physics.ins-det)","the central tracking system of the hades detector, installed at the sis- synchrotron at gsi/darmstadt (germany), employs large-area, low-mass drift chambers, featuring aluminum potential wires and small cell sizes. the chambers in front of the magnetic field, closest to the interaction point, have developed significant self-sustained currents and discharges during operation, most probably triggered by isobutane-based gas mixtures. only both, (i) replacing isobutane by co and (ii) adding  to  ppmv of water into the ar/co counting gas mixture, individually optimized for a given chamber, allowed to recover the chambers, enabling stable operation in several production runs since then, e.g. with high-intensity heavy-ion induced reactions. the origin of the instability was found to be deposits on the cathode wires, provoking the malter-like effects, by visual inspection and energy-dispersive x-ray spectroscopy. the charge on the wires accumulated during their lifetime does not point to so-called classical aging, but presumably the interaction of isobutane with materials in the gas flow, residual impurities, and reaction products formed in plasma, e.g., built by discharges.",2024-03-18
"43",43,"safety analysis of autonomous railway systems: an introduction to the sacred methodology","josh hunter, john mcdermid, simon burton","software engineering (cs.se)","as the railway industry increasingly seeks to introduce autonomy and machine learning (ml), several questions arise. how can safety be assured for such systems and technologies? what is the applicability of current safety standards within this new technological landscape? what are the key metrics to classify a system as safe? currently, safety analysis for the railway reflects the failure modes of existing technology; in contrast, the primary concern of analysis of automation is typically average performance. such purely statistical approaches to measuring ml performance are limited, as they may overlook classes of situations that may occur rarely but in which the function performs consistently poorly. to combat these difficulties we introduce sacred, a safety methodology for producing an initial safety case and determining important safety metrics for autonomous systems. the development of sacred is motivated by the proposed goa- light-rail system in berlin.",2024-03-18
"44",44,"a gnn approach for cell-free massive mimo","lou salaun, hong yang, shashwat mishra, chung shue chen","signal processing (eess.sp)","beyond g wireless technology cell-free massive mimo (cfmmimo) downlink relies on carefully designed precoders and power control to attain uniformly high rate coverage. many such power control problems can be calculated via second order cone programming (socp). in practice, several order of magnitude faster numerical procedure is required because power control has to be rapidly updated to adapt to changing channel conditions. we propose a graph neural network (gnn) based solution to replace socp. specifically, we develop a gnn to obtain downlink max-min power control for a cfmmimo with maximum ratio transmission (mrt) beamforming. we construct a graph representation of the problem that properly captures the dominant dependence relationship between access points (aps) and user equipments (ues). we exploit a symmetry property, called permutation equivariance, to attain training simplicity and efficiency. simulation results show the superiority of our approach in terms of computational complexity, scalability and generalizability for different system sizes and deployment scenarios.",2024-02-08
"45",45,"haze removal via regional saturation-value translation and soft segmentation","le-anh tran, dong-chul park","computer vision and pattern recognition (cs.cv)","this paper proposes a single image dehazing prior, called regional saturation-value translation (rsvt), to tackle the color distortion problems caused by conventional dehazing approaches in bright regions. the rsvt prior is developed based on two key observations regarding the relationship between hazy and haze-free points in the hsv color space. first, the hue component shows marginal variation between corresponding hazy and haze-free points, consolidating a hypothesis that the pixel value variability induced by haze primarily occurs in the saturation and value spaces. second, in the d saturation-value coordinate system, most lines passing through hazy-clean point pairs are likely to intersect near the atmospheric light coordinates. accordingly, haze removal for the bright regions can be performed by properly translating saturation-value coordinates. in addition, an effective soft segmentation method based on a morphological min-max channel is introduced. by combining the soft segmentation mask with the rsvt prior, a comprehensive single image dehazing framework is devised. experimental results on various synthetic and realistic hazy image datasets demonstrate that the proposed scheme successfully addresses color distortion issues and restores visually appealing images. the code of this work is available at this https url.",2024-01-07
"46",46,"routerbench: a benchmark for multi-llm routing system","qitian jason hu, jacob bieker, xiuyu li, nan jiang, benjamin keigwin, gaurav ranganath, kurt keutzer, shriyash kaustubh upadhyay","machine learning (cs.lg)","as the range of applications for large language models (llms) continues to grow, the demand for effective serving solutions becomes increasingly critical. despite the versatility of llms, no single model can optimally address all tasks and applications, particularly when balancing performance with cost. this limitation has led to the development of llm routing systems, which combine the strengths of various models to overcome the constraints of individual llms. yet, the absence of a standardized benchmark for evaluating the performance of llm routers hinders progress in this area. to bridge this gap, we present routerbench, a novel evaluation framework designed to systematically assess the efficacy of llm routing systems, along with a comprehensive dataset comprising over k inference outcomes from representative llms to support the development of routing strategies. we further propose a theoretical framework for llm routing, and deliver a comparative analysis of various routing approaches through routerbench, highlighting their potentials and limitations within our evaluation framework. this work not only formalizes and advances the development of llm routing systems but also sets a standard for their assessment, paving the way for more accessible and economically viable llm deployments. the code and data are available at this https url.",2024-03-18
"47",47,"align and distill: unifying and improving domain adaptive object detection","justin kay, timm haucke, suzanne stathatos, siqi deng, erik young, pietro perona, sara beery, grant van horn","computer vision and pattern recognition (cs.cv)","object detectors often perform poorly on data that differs from their training set. domain adaptive object detection (daod) methods have recently demonstrated strong results on addressing this challenge. unfortunately, we identify systemic benchmarking pitfalls that call past results into question and hamper further progress: (a) overestimation of performance due to underpowered baselines, (b) inconsistent implementation practices preventing transparent comparisons of methods, and (c) lack of generality due to outdated backbones and lack of diversity in benchmarks. we address these problems by introducing: () a unified benchmarking and implementation framework, align and distill (aldi), enabling comparison of daod methods and supporting future development, () a fair and modern training and evaluation protocol for daod that addresses benchmarking pitfalls, () a new daod benchmark dataset, cfc-daod, enabling evaluation on diverse real-world data, and () a new method, aldi++, that achieves state-of-the-art results by a large margin. aldi++ outperforms the previous state-of-the-art by +. ap on cityscapes to foggy cityscapes, +. ap on simk to cityscapes (where ours is the only method to outperform a fair baseline), and +. ap on cfc kenai to channel. our framework, dataset, and state-of-the-art method offer a critical reset for daod and provide a strong foundation for future research. code and data are available: this https url and this https url.",2024-03-18
"48",48,"a toolbox for surfacing health equity harms and biases in large language models","stephen r. pfohl, heather cole-lewis, rory sayres, darlene neal, mercy asiedu, awa dieng, nenad tomasev, qazi mamunur rashid, shekoofeh azizi, negar rostamzadeh, liam g. mccoy, leo anthony celi, yun liu, mike schaekermann, alanna walton, alicia parrish, chirag nagpal, preeti singh, akeiylah dewitt, philip mansfield, sushant prakash, katherine heller, alan karthikesalingam, christopher semturs, joelle barral, greg corrado, yossi matias, jamila smith-loud, ivor horn, karan singhal","computers and society (cs.cy)","large language models (llms) hold immense promise to serve complex health information needs but also have the potential to introduce harm and exacerbate health disparities. reliably evaluating equity-related model failures is a critical step toward developing systems that promote health equity. in this work, we present resources and methodologies for surfacing biases with potential to precipitate equity-related harms in long-form, llm-generated answers to medical questions and then conduct an empirical case study with med-palm , resulting in the largest human evaluation study in this area to date. our contributions include a multifactorial framework for human assessment of llm-generated answers for biases, and equitymedqa, a collection of seven newly-released datasets comprising both manually-curated and llm-generated questions enriched for adversarial queries. both our human assessment framework and dataset design process are grounded in an iterative participatory approach and review of possible biases in med-palm  answers to adversarial queries. through our empirical study, we find that the use of a collection of datasets curated through a variety of methodologies, coupled with a thorough evaluation protocol that leverages multiple assessment rubric designs and diverse rater groups, surfaces biases that may be missed via narrower evaluation approaches. our experience underscores the importance of using diverse assessment methodologies and involving raters of varying backgrounds and expertise. we emphasize that while our framework can identify specific forms of bias, it is not sufficient to holistically assess whether the deployment of an ai system promotes equitable health outcomes. we hope the broader community leverages and builds on these tools and methods towards realizing a shared goal of llms that promote accessible and equitable healthcare for all.",2024-03-18
"49",49,"enhancing hokkien dual translation by exploring and standardizing of four writing systems","bo-han lu, yi-hsuan lin, en-shiun annie lee, richard tzong-han tsai","computation and language (cs.cl)","machine translation focuses mainly on high-resource languages (hrls), while low-resource languages (lrls) like taiwanese hokkien are relatively under-explored. this study aims to address this gap by developing a dual translation model between taiwanese hokkien and both traditional mandarin chinese and english. we employ a pre-trained llama-b model specialized in traditional mandarin chinese to leverage the orthographic similarities between taiwanese hokkien han and traditional mandarin chinese. our comprehensive experiments involve translation tasks across various writing systems of taiwanese hokkien and between taiwanese hokkien and other hrls. we find that the use of a limited monolingual corpus also further improve the model's taiwanese hokkien capabilities. we then utilize our translation model to standardize all taiwanese hokkien writing systems into hokkien han, resulting in further performance improvements. additionally, we introduce an evaluation method incorporating back-translation and gpt- to ensure reliable translation quality assessment even for lrls. the study contributes to narrowing the resource gap for taiwanese hokkien and empirically investigates the advantages and limitations of pre-training and fine-tuning based on llama .",2024-03-18
"50",50,"aligning learning with communication in shared autonomy","joshua hoegerman, shahabedin sagheb, benjamin a. christie, dylan p. losey","robotics (cs.ro)","assistive robot arms can help humans by partially automating their desired tasks. consider an adult with motor impairments controlling an assistive robot arm to eat dinner. the robot can reduce the number of human inputs -- and how precise those inputs need to be -- by recognizing what the human wants (e.g., a fork) and assisting for that task (e.g., moving towards the fork). prior research has largely focused on learning the human's task and providing meaningful assistance. but as the robot learns and assists, we also need to ensure that the human understands the robot's intent (e.g., does the human know the robot is reaching for a fork?). in this paper, we study the effects of communicating learned assistance from the robot back to the human operator. we do not focus on the specific interfaces used for communication. instead, we develop experimental and theoretical models of a) how communication changes the way humans interact with assistive robot arms, and b) how robots can harness these changes to better align with the human's intent. we first conduct online and in-person user studies where participants operate robots that provide partial assistance, and we measure how the human's inputs change with and without communication. with communication, we find that humans are more likely to intervene when the robot incorrectly predicts their intent, and more likely to release control when the robot correctly understands their task. we then use these findings to modify an established robot learning algorithm so that the robot can correctly interpret the human's inputs when communication is present. our results from a second in-person user study suggest that this combination of communication and learning outperforms assistive systems that isolate either learning or communication.",2024-03-18
"51",51,"identifiability and observability of nonsmooth systems via taylor-like approximations","peter stechlinski, sameh eisa, hesham abdelfattah","optimization and control (math.oc)","new sensitivity-based methods are developed for determining identifiability and observability of nonsmooth input-output systems. more specifically, lexicographic calculus is used to construct nonsmooth sensitivity rank condition (serc) tests, which we call lexicographic serc (l-serc) tests. the introduced l-serc tests are: (i) practically implementable and amenable to large-scale problems; (ii) accurate since they directly treat the nonsmoothness while avoiding, e.g., smoothing approximations; and (iii) analogous to (and indeed recover) their smooth counterparts. to accomplish this, a first-order taylor-like approximation theory is developed using lexicographic differentiation to directly treat nonsmooth functions. a practically implementable algorithm is proposed that determines partial structural identifiability or observability, a useful characterization in the nonsmooth setting. lastly, the theory is illustrated through an application in climate modeling.",2024-03-19
"52",52,"uoc luong kenh truyen trong he thong da robot su dung sdr","do hai son, nguyen huu hung, pham duy hung, tran thi thuy quynh","robotics (cs.ro)","this study focuses on developing an experimental system for estimating communication channels in a multi-robot mobile system using software-defined radio (sdr) devices. the system consists of two mobile robots programmed for two scenarios: one where the robot remains stationary and another where it follows a predefined trajectory. communication within the system is conducted through orthogonal frequency-division multiplexing (ofdm) to mitigate the effects of multipath propagation in indoor environments. the system's performance is evaluated using the bit error rate (ber). connections related to robot motion and communication are implemented using raspberry pi  and bladerf x, respectively. the least squares (ls) technique is employed to estimate the channel with a bit error rate of approximately ^(-).",2024-03-19
"53",53,"optimizing service placement in edge-to-cloud ar/vr systems using a multi-objective genetic algorithm","mohammadsadeq garshasbi herabad, javid taheri, bestoun s. ahmed, calin curescu","distributed, parallel, and cluster computing (cs.dc)","augmented reality (ar) and virtual reality (vr) systems involve computationally intensive image processing algorithms that can burden end-devices with limited resources, leading to poor performance in providing low latency services. edge-to-cloud computing overcomes the limitations of end-devices by offloading their computations to nearby edge devices or remote cloud servers. although this proves to be sufficient for many applications, optimal placement of latency sensitive ar/vr services in edge-to-cloud infrastructures (to provide desirable service response times and reliability) remain a formidable challenging. to address this challenge, this paper develops a multi-objective genetic algorithm (moga) to optimize the placement of ar/vr-based services in multi-tier edge-to-cloud environments. the primary objective of the proposed moga is to minimize the response time of all running services, while maximizing the reliability of the underlying system from both software and hardware perspectives. to evaluate its performance, we mathematically modeled all components and developed a tailor-made simulator to assess its effectiveness on various scales. moga was compared with several heuristics to prove that intuitive solutions, which are usually assumed sufficient, are not efficient enough for the stated problem. the experimental results indicated that moga can significantly reduce the response time of deployed services by an average of \% on different scales, compared to other heuristic methods. moga also ensures reliability of the \% infrastructure (hardware) and \% services (software).",2024-03-19
"54",54,"two-dimensional inference of divertor plasma characteristics: advancements to a multi-instrument bayesian analysis system","daniel greenhouse, chris bowman, bruce lipschultz, kevin verhaegh, james harrison, alexandre fil","plasma physics (physics.plasm-ph)","an integrated data analysis system based on bayesian inference has been developed for application to data from multiple diagnostics over the two-dimensional cross-section of tokamak divertors. tests of the divertor multi-instrument bayesian analysis system (d-mibas) on a synthetic data set (including realistic experimental uncertainties) generated from solps-iter predictions of the mast-u divertor have been performed. the resulting inference was within \%, \% and \% median absolute percentage error of the solps-predicted electron temperature, electron density and neutral atomic hydrogen density, respectively, across a two-dimensional poloidal cross-section of the mast-u super-x outer divertor.
to accommodate molecular contributions to balmer emission, an advanced emission model has been developed which is shown to be crucial for inference accuracy. our d-mibas system utilises a mesh aligned to poloidal magnetic flux-surfaces, throughout the divertor, with plasma parameters assigned to each mesh vertex and collectively considered in the inference. this allowed comprehensive forward models to multiple diagnostics and the inclusion of expected physics. this is shown to be important for inference precision when including molecular contributions to balmer emission. these developments pave the way for accurate two-dimensional electron temperature, electron density and neutral atomic hydrogen density inferences for mast-u divertor experimental data for the first time.",2024-03-19
"55",55,"knowledge and data dual-driven channel estimation and feedback for ultra-massive mimo systems under hybrid field beam squint effect","kuiyu wang, zhen gao, sheng chen, boyu ning, gaojie chen, yu su, zhaocheng wang, h. vincent poor","information theory (cs.it)","acquiring accurate channel state information (csi) at an access point (ap) is challenging for wideband millimeter wave (mmwave) ultra-massive multiple-input and multiple-output (ummimo) systems, due to the high-dimensional channel matrices, hybrid near- and far- field channel feature, beam squint effects, and imperfect hardware constraints, such as low-resolution analog-to-digital converters, and in-phase and quadrature imbalance. to overcome these challenges, this paper proposes an efficient downlink channel estimation (ce) and csi feedback approach based on knowledge and data dual-driven deep learning (dl) networks. specifically, we first propose a data-driven residual neural network de-quantizer (resnet-dq) to pre-process the received pilot signals at user equipment (ues), where the noise and distortion brought by imperfect hardware can be mitigated. a knowledge-driven generalized multiple measurement vector learned approximate message passing (gmmv-lamp) network is then developed to jointly estimate the channels by exploiting the approximately same physical angle shared by different subcarriers. in particular, two wideband redundant dictionaries (wrds) are proposed such that the measurement matrices of the gmmv-lamp network can accommodate the far-field and near-field beam squint effect, respectively. finally, we propose an encoder at the ues and a decoder at the ap by a data-driven csi residual network (csi-resnet) to compress the csi matrix into a low-dimensional quantized bit vector for feedback, thereby reducing the feedback overhead substantially. simulation results show that the proposed knowledge and data dual-driven approach outperforms conventional downlink ce and csi feedback methods, especially in the case of low signal-to-noise ratios.",2024-03-19
"56",56,"contextual moral value alignment through context-based aggregation","pierre dognin, jesus rios, ronny luss, inkit padhi, matthew d riemer, miao liu, prasanna sattigeri, manish nagireddy, kush r. varshney, djallel bouneffouf","artificial intelligence (cs.ai)","developing value-aligned ai agents is a complex undertaking and an ongoing challenge in the field of ai. specifically within the domain of large language models (llms), the capability to consolidate multiple independently trained dialogue agents, each aligned with a distinct moral value, into a unified system that can adapt to and be aligned with multiple moral values is of paramount importance. in this paper, we propose a system that does contextual moral value alignment based on contextual aggregation. here, aggregation is defined as the process of integrating a subset of llm responses that are best suited to respond to a user input, taking into account features extracted from the user's input. the proposed system shows better results in term of alignment to human value compared to the state of the art.",2024-03-19
"57",57,"beyond point masses. i. new non-keplerian modeling tools applied to trans-neptunian triple () lempo","darin ragozzine, seth pincock, benjamin c. n. proudfoot, dallin spencer, simon porter, will grundy","earth and planetary astrophysics (astro-ph.ep)","many details of the formation and evolution of the solar system are best inferred by understanding the orbital and physical properties of small bodies in the solar system. for example, small body binaries are particularly valuable for measuring masses. by extending the models of small body binaries beyond point masses, new information about the shape and spin orientation becomes available. this is particularly informative for trans-neptunian multiples (two or more components) where shapes and spin orientations are poorly understood. going beyond point masses requires modeling tools that no longer assume fixed keplerian orbits. to this end, we have developed a new n-quadrupole integrator spinny (spin+n-body) and pair it with a bayesian parameter inference tool multimoon, both of which are publicly available. we describe these tools and how they can be used to learn more about solar system small body multiple systems. we then apply them to the unique trans-neptunian hierarchical triple system () lempo, finding a three-point-mass solution for the first time. this solution has two surprises: unequal densities of the inner components and a dynamical configuration apparently unstable on the age of the solar system.",2024-03-19
"58",58,"large-scale ris enabled air-ground channels: near-field modeling and analysis","hao jiang, wangqi shi, zaichen zhang, cunhua pan, qingqing wu, feng shu, ruiqi liu, jiangzhou wang","signal processing (eess.sp)","existing works mainly rely on the far-field planar-wave-based channel model to assess the performance of reconfigurable intelligent surface (ris)-enabled wireless communication systems. however, when the transmitter and receiver are in near-field ranges, this will result in relatively low computing accuracy. to tackle this challenge, we initially develop an analytical framework for sub-array partitioning. this framework divides the large-scale ris array into multiple sub-arrays, effectively reducing modeling complexity while maintaining acceptable accuracy. then, we develop a beam domain channel model based on the proposed sub-array partition framework for large-scale ris-enabled uav-to-vehicle communication systems, which can be used to efficiently capture the sparse features in ris-enabled uav-to-vehicle channels in both near-field and far-field ranges. furthermore, some important propagation characteristics of the proposed channel model, including the spatial cross-correlation functions (ccfs), temporal auto-correlation functions (acfs), frequency correlation functions (cfs), and channel capacities with respect to the different physical features of the ris and non-stationary properties of the channel model are derived and analyzed. finally, simulation results are provided to demonstrate that the proposed framework is helpful to achieve a good tradeoff between model complexity and accuracy for investigating the channel propagation characteristics, and therefore providing highly-efficient communications in ris-enabled uav-to-vehicle wireless networks.",2024-03-19
"59",59,"contextvis: envision contextual learning and interaction with generative models","bo shui, chufan shi, yujiu yang, xiaomei nie","human-computer interaction (cs.hc)","contextvis introduces a workflow by integrating generative models to create contextual learning materials. it aims to boost knowledge acquisition through the creation of resources with contextual cues. a case study on vocabulary learning demonstrates the effectiveness of generative models in developing educational resources that enrich language understanding and aid memory retention. the system combines an easy-to-use dashboard for educators with an interactive playground for learners, establishing a unified platform for content creation and interaction. future work may expand to include a wider range of generative models, media formats, and customization features for educators.",2024-03-19
"60",60,"smooth helically symmetric transonic flows with nonzero vorticity in a concentric cylinder","yi ke, shangkun weng","analysis of pdes (math.ap)","this paper concerns the structural stability of smooth cylindrical symmetric transonic flows in a concentric cylinder under helically symmetric perturbation of suitable boundary conditions. the deformation-curl decomposition developed by the second author and his collaborator is utilized to effectively decouple the elliptic-hyperbolic mixed structure in the steady compressible euler equation. a key parameter in the helical symmetry is the step (denoted by $\sigma$), which denotes the magnitude of the translation along the symmetry axis after rotating one full turn. it is shown that the step determines the type of the first order partial differential system satisfied by the radial and vertical velocity. there exists a critical number $\sigma_{}$ depending only on the background transonic flows, such that if $<\sigma<\sigma_{}$, one can prove the existence and uniqueness of smooth helically symmetric transonic flows with nonzero vorticity.",2024-03-19
"61",61,"a new framework for constrained optimization via feedback control of lagrange multipliers","v. cerone, s. m. fosson, s. pirrera, d. regruto","optimization and control (math.oc)","the continuous-time analysis of existing iterative algorithms for optimization has a long history. this work proposes a novel continuous-time control-theoretic framework for equality-constrained optimization. the key idea is to design a feedback control system where the lagrange multipliers are the control input, and the output represents the constraints. the system converges to a stationary point of the constrained optimization problem through suitable regulation. regarding the lagrange multipliers, we consider two control laws: proportional-integral control and feedback linearization. these choices give rise to a family of different methods. we rigorously develop the related algorithms, theoretically analyze their convergence and present several numerical experiments to support their effectiveness concerning the state-of-the-art approaches.",2024-03-19
"62",62,"small distance increment method for measuring complex permittivity with mmwave radar","hang song, hyun joon kim, mingxia wan, bo wei, takamaro kikkawa, jun-ichi takada","signal processing (eess.sp)","measuring the complex permittivity of material is essential in many scenarios such as quality check and component analysis. generally, measurement methods for characterizing the material are based on the usage of vector network analyzer, which is large and not easy for on-site measurement, especially in high frequency range such as millimeter wave (mmwave). in addition, some measurement methods require the destruction of samples, which is not suitable for non-destructive inspection. in this work, a small distance increment (sdi) method is proposed to non-destructively measure the complex permittivity of material. in sdi, the transmitter and receiver are formed as the monostatic radar, which is facing towards the material under test (mut). during the measurement, the distance between radar and mut changes with small increments and the signals are recorded at each position. a mathematical model is formulated to depict the relationship among the complex permittivity, distance increment, and measured signals. by fitting the model, the complex permittivity of mut is estimated. to implement and evaluate the proposed sdi method, a commercial off-the-shelf mmwave radar is utilized and the measurement system is developed. then, the evaluation was carried out on the acrylic plate. with the proposed method, the estimated complex permittivity of acrylic plate shows good agreement with the literature values, demonstrating the efficacy of sdi method for characterizing the complex permittivity of material.",2024-03-19
"63",63,"some geometric and topological data-driven methods in robot motion path planning","boris goldfarb","algebraic topology (math.at)","motion path planning is an intrinsically geometric problem which is central for design of robot systems. since the early years of ai, robotics together with computer vision have been the areas of computer science that drove its development. many questions that arise, such as existence, optimality, and diversity of motion paths in the configuration space that describes feasible robot configurations, are of topological nature. the recent advances in topological data analysis and related metric geometry, topology and combinatorics have provided new tools to address these engineering tasks. we will survey some questions, issues, recent work and promising directions in data-driven geometric and topological methods with some emphasis on the use of discrete morse theory.",2024-03-19
"64",64,"python fuzzing for trustworthy machine learning frameworks","ilya yegorov, eli kobrin, darya parygina, alexey vishnyakov, andrey fedotov","cryptography and security (cs.cr)","ensuring the security and reliability of machine learning frameworks is crucial for building trustworthy ai-based systems. fuzzing, a popular technique in secure software development lifecycle (ssdlc), can be used to develop secure and robust software. popular machine learning frameworks such as pytorch and tensorflow are complex and written in multiple programming languages including c/c++ and python. we propose a dynamic analysis pipeline for python projects using the sydr-fuzz toolset. our pipeline includes fuzzing, corpus minimization, crash triaging, and coverage collection. crash triaging and severity estimation are important steps to ensure that the most critical vulnerabilities are addressed promptly. furthermore, the proposed pipeline is integrated in gitlab ci. to identify the most vulnerable parts of the machine learning frameworks, we analyze their potential attack surfaces and develop fuzz targets for pytorch, tensorflow, and related projects such as hpy. applying our dynamic analysis pipeline to these targets, we were able to discover  new bugs and propose fixes for them.",2024-03-19
"65",65,"bayesian uncertainty evaluation applied to the tilted-wave interferometer","manuel marschall, ines fortmeier, manuel stavridis, finn hughes, clemens elster","optics (physics.optics)","the tilted-wave interferometer is a promising technique for the development of a reference measurement system for the highly accurate form measurement of aspheres and freeform surfaces. the technique combines interferometric measurements, acquired with a special setup, and sophisticated mathematical evaluation procedures. to determine the form of the surface under test, a computational model is required that closely mimics the measurement process of the physical measurement instruments. the parameters of the computational model, comprising the surface under test sought, are then tuned by solving an inverse problem. due to this embedded structure of the real experiment and computational model and the overall complexity, a thorough uncertainty evaluation is challenging. in this work, a bayesian approach is proposed to tackle the inverse problem, based on a statistical model derived from the computational model of the tilted-wave interferometer. such a procedure naturally allows for uncertainty quantification to be made. we present an approximate inference scheme to efficiently sample quantities of the posterior using monte carlo sampling involving the statistical model. in particular, the methodology derived is applied to the tilted-wave interferometer to obtain an estimate and corresponding uncertainty of the pixel-by-pixel form of the surface under test for two typical surfaces taking into account a number of key influencing factors. a statistical analysis using experimental design is employed to identify main influencing factors and a subsequent analysis confirms the efficacy of the method derived.",2024-03-19
"66",66,"system support for environmentally sustainable computing in data centers","fan chen","hardware architecture (cs.ar)","modern data centers suffer from a growing carbon footprint due to insufficient support for environmental sustainability. while hardware accelerators and renewable energy have been utilized to enhance sustainability, addressing quality of service (qos) degradation caused by renewable energy supply and hardware recycling remains challenging: () prior accelerators exhibit significant carbon footprints due to limited reconfigurability and inability to adapt to renewable energy fluctuations; () integrating recycled nand flash chips in data centers poses challenges due to their short lifetime, increasing energy consumption; () the absence of a sustainability estimator impedes data centers and users in evaluating and improving their environmental impact. this study aims to improve system support for environmentally sustainable data centers by proposing a reconfigurable hardware accelerator for intensive computing primitives and developing a fractional nand flash cell to extend the lifetime of recycled flash chips while supporting graceful capacity degradation. we also introduce a sustainability estimator to evaluate user task energy consumption and promote sustainable practices. we present our preliminary results and recognize this as an ongoing initiative with significant potential to advance environmentally sustainable computing in data centers and stimulate further exploration in this critical research domain.",2024-03-19
"67",67,"as firm as their foundations: can open-sourced foundation models be used to create adversarial examples for downstream tasks?","anjun hu, jindong gu, francesco pinto, konstantinos kamnitsas, philip torr","computer vision and pattern recognition (cs.cv)","foundation models pre-trained on web-scale vision-language data, such as clip, are widely used as cornerstones of powerful machine learning systems. while pre-training offers clear advantages for downstream learning, it also endows downstream models with shared adversarial vulnerabilities that can be easily identified through the open-sourced foundation model. in this work, we expose such vulnerabilities in clip's downstream models and show that foundation models can serve as a basis for attacking their downstream systems. in particular, we propose a simple yet effective adversarial attack strategy termed patch representation misalignment (prm). solely based on open-sourced clip vision encoders, this method produces adversaries that simultaneously fool more than  downstream models spanning  common vision-language tasks (semantic segmentation, object detection, image captioning and visual question-answering). our findings highlight the concerning safety risks introduced by the extensive usage of public foundational models in the development of downstream systems, calling for extra caution in these scenarios.",2024-03-19
